iter	Passed	Remaining
447	1090	1343
448	1092	1340
449	1093	1337
450	1095	1333
451	1097	1330
452	1103	1332
453	1105	1329
454	1107	1326
455	1109	1323
456	1111	1320
457	1112	1316
458	1115	1314
459	1117	1312
460	1125	1316
461	1127	1313
462	1129	1309
463	1134	1310
464	1135	1306
465	1138	1305
466	1140	1301
467	1142	1298
468	1144	1295
469	1148	1295
470	1150	1291
471	1152	1288
472	1153	1285
473	1155	1282
474	1157	1279
475	1159	1276
476	1165	1278
477	1171	1278
478	1173	1275
479	1174	1272
480	1177	1270
481	1179	1267
482	1181	1265
483	1183	1261
484	1184	1258
485	1186	1254
486	1188	1251
487	1190	1248
488	1195	1249
489	1197	1245
490	1198	1242
491	1200	1239
492	1210	1245
493	1213	1243
494	1215	1239
495	1216	1236
496	1218	1232
497	1219	1229
498	1221	1226
499	1226	1226
500	1228	1223
501	1230	1220
502	1231	1216
503	1233	1213
504	1234	1210
505	1236	1207
506	1240	1206
507	1241	1202
508	1243	1199
509	1245	1196
510	1249	1195
511	1251	1192
512	1253	1189
513	1255	1187
514	1257	1183
515	1258	1180
516	1260	1177
517	1261	1173
518	1263	1170
519	1264	1167
520	1266	1164
521	1269	1162
522	1271	1159
523	1272	1156
524	1274	1153
525	1276	1149
526	1277	1146
527	1290	1153
528	1291	1150
529	1293	1146
530	1297	1146
531	1301	1144
532	1302	1141
533	1304	1138
534	1337	1162
535	1338	1159
536	1340	1155
537	1341	1152
538	1343	1148
539	1344	1145
540	1345	1141
541	1349	1140
542	1350	1136
543	1352	1133
544	1353	1129
545	1354	1126
546	1356	1123
547	1357	1119
548	1358	1116
549	1376	1126
550	1378	1123
551	1388	1127
552	1390	1123
553	1391	1120
554	1393	1116
555	1394	1113
556	1396	1110
557	1397	1106
558	1398	1103
559	1400	1100
560	1401	1096
561	1403	1093
562	1404	1090
563	1405	1086
564	1410	1085
565	1417	1087
566	1419	1084
567	1420	1080
568	1423	1077
569	1424	1074
570	1426	1071
571	1427	1068
572	1428	1064
573	1430	1061
574	1431	1058
575	1432	1054
576	1434	1051
577	1435	1048
578	1439	1046
579	1441	1043
580	1442	1040
